Size_Rows,Size_Cols,Type,Order,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
51,51,Dungeon,NWSE,BFS,3.7145,1574,131,True
51,51,Dungeon,NWSE,DFS,1.6134,1019,667,True
51,51,Dungeon,NWSE,A* (Manhattan),5.2592,1077,131,True
51,51,Dungeon,NWSE,A* (Euclidean),3.4091,1303,131,True
51,51,Dungeon,NWSE,MDP (Value Iter.),354.2238,1583,131,True
51,51,Dungeon,NWSE,MDP (Policy Iter.),723.5139,1583,131,True
51,51,Dungeon,NESW,BFS,2.0708,1575,131,True
51,51,Dungeon,NESW,DFS,0.7922,595,425,True
51,51,Dungeon,NESW,A* (Manhattan),2.2072,1077,131,True
51,51,Dungeon,NESW,A* (Euclidean),2.7889,1303,131,True
51,51,Dungeon,NESW,MDP (Value Iter.),346.8547,1583,131,True
51,51,Dungeon,NESW,MDP (Policy Iter.),719.1029,1583,131,True
51,51,Dungeon,SWNE,BFS,2.011,1574,131,True
51,51,Dungeon,SWNE,DFS,1.8046,1394,377,True
51,51,Dungeon,SWNE,A* (Manhattan),2.3162,1077,131,True
51,51,Dungeon,SWNE,A* (Euclidean),2.7488,1303,131,True
51,51,Dungeon,SWNE,MDP (Value Iter.),343.6526,1583,131,True
51,51,Dungeon,SWNE,MDP (Policy Iter.),717.824,1583,131,True
51,51,Dungeon,SENW,BFS,2.1639,1574,131,True
51,51,Dungeon,SENW,DFS,0.2302,149,145,True
51,51,Dungeon,SENW,A* (Manhattan),2.2155,1077,131,True
51,51,Dungeon,SENW,A* (Euclidean),2.8293,1303,131,True
51,51,Dungeon,SENW,MDP (Value Iter.),342.3246,1583,131,True
51,51,Dungeon,SENW,MDP (Policy Iter.),715.7134,1583,131,True
