Size_Rows,Size_Cols,Type,Order,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
100,100,Dungeon,NWSE,BFS,17.4549,8146,217,True
100,100,Dungeon,NWSE,DFS,7.4339,4895,2775,True
100,100,Dungeon,NWSE,A* (Manhattan),15.6481,6844,217,True
100,100,Dungeon,NWSE,A* (Euclidean),18.1135,7768,217,True
100,100,Dungeon,NWSE,MDP (Value Iter.),2966.8982,8155,217,True
100,100,Dungeon,NWSE,MDP (Policy Iter.),8952.9744,8155,217,True
100,100,Dungeon,NESW,BFS,19.2143,8146,217,True
100,100,Dungeon,NESW,DFS,1.7757,647,567,True
100,100,Dungeon,NESW,A* (Manhattan),26.6178,6844,217,True
100,100,Dungeon,NESW,A* (Euclidean),33.0153,7768,217,True
100,100,Dungeon,NESW,MDP (Value Iter.),5308.8418,8155,217,True
100,100,Dungeon,NESW,MDP (Policy Iter.),13255.2397,8155,217,True
100,100,Dungeon,SWNE,BFS,19.5869,8146,217,True
100,100,Dungeon,SWNE,DFS,53.8786,4209,3075,True
100,100,Dungeon,SWNE,A* (Manhattan),25.9524,6846,217,True
100,100,Dungeon,SWNE,A* (Euclidean),32.5026,7768,217,True
100,100,Dungeon,SWNE,MDP (Value Iter.),5291.8846,8155,217,True
100,100,Dungeon,SWNE,MDP (Policy Iter.),11589.3147,8155,217,True
100,100,Dungeon,SENW,BFS,18.4695,8146,217,True
100,100,Dungeon,SENW,DFS,0.8473,293,271,True
100,100,Dungeon,SENW,A* (Manhattan),25.8641,6844,217,True
100,100,Dungeon,SENW,A* (Euclidean),34.6033,7768,217,True
100,100,Dungeon,SENW,MDP (Value Iter.),5312.3382,8155,217,True
100,100,Dungeon,SENW,MDP (Policy Iter.),11176.1622,8155,217,True
