Size,Type,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,Perfect,0,BFS,0.1076,34,29,True
10,Perfect,0,DFS,0.0743,50,29,True
10,Perfect,0,A* (Manhattan),0.0875,29,29,True
10,Perfect,0,A* (Euclidean),0.08,29,29,True
10,Perfect,0,MDP (Value Iter.),3.2067,50,30,True
10,Perfect,0,MDP (Policy Iter.),15.9344,50,29,True
20,Perfect,0,BFS,0.2205,94,85,True
20,Perfect,0,DFS,0.3603,198,85,True
20,Perfect,0,A* (Manhattan),0.2368,89,85,True
20,Perfect,0,A* (Euclidean),0.2129,89,85,True
20,Perfect,0,MDP (Value Iter.),29.8749,200,86,True
20,Perfect,0,MDP (Policy Iter.),65.0578,200,85,True
30,Perfect,0,BFS,0.4492,230,165,True
30,Perfect,0,DFS,0.8316,448,165,True
30,Perfect,0,A* (Manhattan),0.5956,221,165,True
30,Perfect,0,A* (Euclidean),0.566,221,165,True
30,Perfect,0,MDP (Value Iter.),107.4703,450,166,True
30,Perfect,0,MDP (Policy Iter.),185.2353,450,165,True
40,Perfect,0,BFS,0.3412,238,153,True
40,Perfect,0,DFS,0.9963,800,153,True
40,Perfect,0,A* (Manhattan),0.3338,170,153,True
40,Perfect,0,A* (Euclidean),0.3358,173,153,True
40,Perfect,0,MDP (Value Iter.),267.0433,800,155,True
40,Perfect,0,MDP (Policy Iter.),375.9849,800,153,True
50,Perfect,0,BFS,0.8975,676,485,True
50,Perfect,0,DFS,1.4858,1196,485,True
50,Perfect,0,A* (Manhattan),1.1587,646,485,True
50,Perfect,0,A* (Euclidean),1.2841,656,485,True
50,Perfect,0,MDP (Value Iter.),889.5142,1250,487,True
50,Perfect,0,MDP (Policy Iter.),973.0889,1250,485,True
60,Perfect,0,BFS,0.9056,708,409,True
60,Perfect,0,DFS,2.4548,1782,409,True
60,Perfect,0,A* (Manhattan),0.9955,542,409,True
60,Perfect,0,A* (Euclidean),1.032,556,409,True
60,Perfect,0,MDP (Value Iter.),1203.5324,1800,411,True
60,Perfect,0,MDP (Policy Iter.),1303.3384,1800,409,True
70,Perfect,0,BFS,1.6943,1342,785,True
70,Perfect,0,DFS,2.8239,2372,785,True
70,Perfect,0,A* (Manhattan),2.2064,1234,785,True
70,Perfect,0,A* (Euclidean),2.3597,1251,785,True
70,Perfect,0,MDP (Value Iter.),2771.1322,2450,787,True
70,Perfect,0,MDP (Policy Iter.),3208.8243,2450,785,True
80,Perfect,0,BFS,1.1714,860,591,True
80,Perfect,0,DFS,3.9919,3190,591,True
80,Perfect,0,A* (Manhattan),1.4339,774,591,True
80,Perfect,0,A* (Euclidean),1.4465,777,591,True
80,Perfect,0,MDP (Value Iter.),6062.9533,3200,591,True
80,Perfect,0,MDP (Policy Iter.),5132.4553,3200,591,True
90,Perfect,0,BFS,1.7267,1324,737,True
90,Perfect,0,DFS,4.6682,3984,737,True
90,Perfect,0,A* (Manhattan),2.1463,1173,737,True
90,Perfect,0,A* (Euclidean),2.6328,1173,737,True
90,Perfect,0,MDP (Value Iter.),10291.4488,4050,739,True
90,Perfect,0,MDP (Policy Iter.),8286.5007,4050,737,True
100,Perfect,0,BFS,1.9566,1449,839,True
100,Perfect,0,DFS,1.7088,1373,839,True
100,Perfect,0,A* (Manhattan),2.617,1404,839,True
100,Perfect,0,A* (Euclidean),2.7508,1406,839,True
100,Perfect,0,MDP (Value Iter.),9075.9852,5000,839,True
100,Perfect,0,MDP (Policy Iter.),7764.6502,5000,839,True
