Size_Rows,Size_Cols,Type,Order,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
41,41,Perfect,NWSE,BFS,0.8526,419,309,True
41,41,Perfect,NWSE,DFS,1.2316,781,309,True
41,41,Perfect,NWSE,A* (Manhattan),0.7992,405,309,True
41,41,Perfect,NWSE,A* (Euclidean),0.8044,409,309,True
41,41,Perfect,NWSE,MDP (Value Iter.),346.1885,799,3,True
41,41,Perfect,NWSE,MDP (Policy Iter.),298.9335,799,3,True
41,41,Perfect,NESW,BFS,0.5662,419,309,True
41,41,Perfect,NESW,DFS,1.5124,737,309,True
41,41,Perfect,NESW,A* (Manhattan),0.7439,405,309,True
41,41,Perfect,NESW,A* (Euclidean),0.7878,409,309,True
41,41,Perfect,NESW,MDP (Value Iter.),336.1805,799,9,True
41,41,Perfect,NESW,MDP (Policy Iter.),285.7774,799,9,True
41,41,Perfect,SWNE,BFS,0.5765,418,309,True
41,41,Perfect,SWNE,DFS,0.4601,367,309,True
41,41,Perfect,SWNE,A* (Manhattan),0.7237,405,309,True
41,41,Perfect,SWNE,A* (Euclidean),0.7776,409,309,True
41,41,Perfect,SWNE,MDP (Value Iter.),334.532,799,3,True
41,41,Perfect,SWNE,MDP (Policy Iter.),296.36,799,309,True
41,41,Perfect,SENW,BFS,0.5691,418,309,True
41,41,Perfect,SENW,DFS,0.4101,319,309,True
41,41,Perfect,SENW,A* (Manhattan),0.7599,405,309,True
41,41,Perfect,SENW,A* (Euclidean),0.818,409,309,True
41,41,Perfect,SENW,MDP (Value Iter.),335.9292,799,10,True
41,41,Perfect,SENW,MDP (Policy Iter.),308.8567,799,309,True
