Size_Rows,Size_Cols,Type,Order,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
41,41,Dungeon,NWSE,BFS,1.1508,791,93,True
41,41,Dungeon,NWSE,DFS,1.0201,666,441,True
41,41,Dungeon,NWSE,A* (Manhattan),0.9711,461,93,True
41,41,Dungeon,NWSE,A* (Euclidean),1.2097,565,93,True
41,41,Dungeon,NWSE,MDP (Value Iter.),155.5795,947,93,True
41,41,Dungeon,NWSE,MDP (Policy Iter.),206.5069,947,93,True
41,41,Dungeon,NESW,BFS,1.1893,801,93,True
41,41,Dungeon,NESW,DFS,0.2356,161,147,True
41,41,Dungeon,NESW,A* (Manhattan),0.9473,461,93,True
41,41,Dungeon,NESW,A* (Euclidean),1.1716,565,93,True
41,41,Dungeon,NESW,MDP (Value Iter.),153.4622,947,93,True
41,41,Dungeon,NESW,MDP (Policy Iter.),215.4072,947,93,True
41,41,Dungeon,SWNE,BFS,1.0444,791,93,True
41,41,Dungeon,SWNE,DFS,0.4966,368,199,True
41,41,Dungeon,SWNE,A* (Manhattan),0.9746,461,93,True
41,41,Dungeon,SWNE,A* (Euclidean),1.1843,565,93,True
41,41,Dungeon,SWNE,MDP (Value Iter.),154.7132,947,93,True
41,41,Dungeon,SWNE,MDP (Policy Iter.),205.1554,947,93,True
41,41,Dungeon,SENW,BFS,1.5767,783,93,True
41,41,Dungeon,SENW,DFS,0.2668,123,121,True
41,41,Dungeon,SENW,A* (Manhattan),1.4556,461,93,True
41,41,Dungeon,SENW,A* (Euclidean),1.1838,565,93,True
41,41,Dungeon,SENW,MDP (Value Iter.),172.3636,947,93,True
41,41,Dungeon,SENW,MDP (Policy Iter.),206.5539,947,93,True
