Size,Type,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,Perfect,0,BFS,0.1358,24,17,True
10,Perfect,0,DFS,0.082,50,17,True
10,Perfect,0,A* (Manhattan),0.0609,17,17,True
10,Perfect,0,A* (Euclidean),0.0601,17,17,True
10,Perfect,0,MDP (Value Iter.),1.733,50,18,True
10,Perfect,0,MDP (Policy Iter.),11.5636,50,17,True
20,Perfect,0,BFS,0.1053,63,59,True
20,Perfect,0,DFS,0.0842,63,59,True
20,Perfect,0,A* (Manhattan),0.1064,59,59,True
20,Perfect,0,A* (Euclidean),0.1154,62,59,True
20,Perfect,0,MDP (Value Iter.),27.4073,200,59,True
20,Perfect,0,MDP (Policy Iter.),60.0356,200,59,True
30,Perfect,0,BFS,0.716,428,245,True
30,Perfect,0,DFS,0.5968,444,245,True
30,Perfect,0,A* (Manhattan),0.6835,388,245,True
30,Perfect,0,A* (Euclidean),0.7491,389,245,True
30,Perfect,0,MDP (Value Iter.),180.1686,450,246,True
30,Perfect,0,MDP (Policy Iter.),234.9255,450,245,True
40,Perfect,0,BFS,0.4465,330,257,True
40,Perfect,0,DFS,1.0275,782,257,True
40,Perfect,0,A* (Manhattan),0.5493,310,257,True
40,Perfect,0,A* (Euclidean),0.5905,312,257,True
40,Perfect,0,MDP (Value Iter.),372.6302,800,258,True
40,Perfect,0,MDP (Policy Iter.),480.9605,800,257,True
50,Perfect,0,BFS,0.8649,602,409,True
50,Perfect,0,DFS,1.4429,1184,409,True
50,Perfect,0,A* (Manhattan),0.9893,558,409,True
50,Perfect,0,A* (Euclidean),1.6243,568,409,True
50,Perfect,0,MDP (Value Iter.),757.945,1250,410,True
50,Perfect,0,MDP (Policy Iter.),945.1527,1250,409,True
60,Perfect,0,BFS,1.6525,1278,773,True
60,Perfect,0,DFS,2.1735,1732,773,True
60,Perfect,0,A* (Manhattan),2.2517,1256,773,True
60,Perfect,0,A* (Euclidean),2.3648,1257,773,True
60,Perfect,0,MDP (Value Iter.),2038.4681,1800,775,True
60,Perfect,0,MDP (Policy Iter.),1980.3831,1800,773,True
70,Perfect,0,BFS,1.9826,1581,773,True
70,Perfect,0,DFS,2.7713,2331,773,True
70,Perfect,0,A* (Manhattan),2.5609,1425,773,True
70,Perfect,0,A* (Euclidean),2.8059,1447,773,True
70,Perfect,0,MDP (Value Iter.),2839.7009,2450,773,True
70,Perfect,0,MDP (Policy Iter.),3723.3077,2450,773,True
80,Perfect,0,BFS,2.9607,1345,797,True
80,Perfect,0,DFS,6.1063,3045,797,True
80,Perfect,0,A* (Manhattan),3.7062,1294,797,True
80,Perfect,0,A* (Euclidean),4.1079,1302,797,True
80,Perfect,0,MDP (Value Iter.),5636.992,3200,797,True
80,Perfect,0,MDP (Policy Iter.),5130.9948,3200,797,True
90,Perfect,0,BFS,3.6821,1739,919,True
90,Perfect,0,DFS,3.4462,1649,919,True
90,Perfect,0,A* (Manhattan),5.1591,1739,919,True
90,Perfect,0,A* (Euclidean),6.06,1739,919,True
90,Perfect,0,MDP (Value Iter.),7008.4958,4050,919,True
90,Perfect,0,MDP (Policy Iter.),6519.3418,4050,919,True
100,Perfect,0,BFS,8.4872,4114,1651,True
100,Perfect,0,DFS,10.8249,4812,1651,True
100,Perfect,0,A* (Manhattan),12.1317,3838,1651,True
100,Perfect,0,A* (Euclidean),14.1872,3865,1651,True
100,Perfect,0,MDP (Value Iter.),14776.2705,5000,1651,True
100,Perfect,0,MDP (Policy Iter.),13568.3841,5000,1651,True
