Size,Type,Trial,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
10,Dungeon,0,BFS,0.1659,35,15,True
10,Dungeon,0,DFS,0.0824,46,33,True
10,Dungeon,0,A* (Manhattan),0.0733,19,15,True
10,Dungeon,0,A* (Euclidean),0.0613,19,15,True
10,Dungeon,0,MDP (Value Iter.),1.5342,61,16,True
10,Dungeon,0,MDP (Policy Iter.),13.6392,61,15,True
20,Dungeon,0,BFS,0.5241,191,49,True
20,Dungeon,0,DFS,0.3843,155,129,True
20,Dungeon,0,A* (Manhattan),0.388,112,49,True
20,Dungeon,0,A* (Euclidean),0.548,141,49,True
20,Dungeon,0,MDP (Value Iter.),18.7849,223,49,True
20,Dungeon,0,MDP (Policy Iter.),68.7948,223,49,True
30,Dungeon,0,BFS,0.5245,382,117,True
30,Dungeon,0,DFS,0.2948,228,197,True
30,Dungeon,0,A* (Manhattan),0.4354,230,117,True
30,Dungeon,0,A* (Euclidean),0.5104,253,117,True
30,Dungeon,0,MDP (Value Iter.),90.9474,505,117,True
30,Dungeon,0,MDP (Policy Iter.),195.7014,505,117,True
40,Dungeon,0,BFS,1.2088,932,105,True
40,Dungeon,0,DFS,1.0116,747,411,True
40,Dungeon,0,A* (Manhattan),0.878,425,105,True
40,Dungeon,0,A* (Euclidean),1.2888,610,105,True
40,Dungeon,0,MDP (Value Iter.),163.9498,984,106,True
40,Dungeon,0,MDP (Policy Iter.),396.0042,984,105,True
50,Dungeon,0,BFS,2.0918,1560,117,True
50,Dungeon,0,DFS,1.8882,1381,327,True
50,Dungeon,0,A* (Manhattan),2.7404,1331,117,True
50,Dungeon,0,A* (Euclidean),3.0531,1432,117,True
50,Dungeon,0,MDP (Value Iter.),379.8291,1578,118,True
50,Dungeon,0,MDP (Policy Iter.),723.659,1578,117,True
60,Dungeon,0,BFS,3.0234,2344,131,True
60,Dungeon,0,DFS,1.5644,1168,853,True
60,Dungeon,0,A* (Manhattan),2.2059,1062,131,True
60,Dungeon,0,A* (Euclidean),3.5166,1595,131,True
60,Dungeon,0,MDP (Value Iter.),506.0229,2393,131,True
60,Dungeon,0,MDP (Policy Iter.),1164.574,2393,131,True
70,Dungeon,0,BFS,4.6045,3545,159,True
70,Dungeon,0,DFS,3.1859,2126,1615,True
70,Dungeon,0,A* (Manhattan),4.5303,2141,159,True
70,Dungeon,0,A* (Euclidean),6.6447,3025,159,True
70,Dungeon,0,MDP (Value Iter.),953.3342,3633,159,True
70,Dungeon,0,MDP (Policy Iter.),1911.2195,3633,159,True
80,Dungeon,0,BFS,6.543,4848,235,True
80,Dungeon,0,DFS,4.3165,3075,1777,True
80,Dungeon,0,A* (Manhattan),4.5513,2096,235,True
80,Dungeon,0,A* (Euclidean),7.0103,2941,235,True
80,Dungeon,0,MDP (Value Iter.),1908.6798,4855,235,True
80,Dungeon,0,MDP (Policy Iter.),3945.5253,4855,235,True
90,Dungeon,0,BFS,8.8652,6151,179,True
90,Dungeon,0,DFS,4.9014,3359,2257,True
90,Dungeon,0,A* (Manhattan),10.5066,4660,179,True
90,Dungeon,0,A* (Euclidean),13.1621,5764,179,True
90,Dungeon,0,MDP (Value Iter.),1828.6409,6163,179,True
90,Dungeon,0,MDP (Policy Iter.),3658.2153,6163,179,True
100,Dungeon,0,BFS,10.6342,8113,229,True
100,Dungeon,0,DFS,7.3885,4893,3395,True
100,Dungeon,0,A* (Manhattan),12.2259,5397,229,True
100,Dungeon,0,A* (Euclidean),16.0599,6978,229,True
100,Dungeon,0,MDP (Value Iter.),3827.0091,8114,229,True
100,Dungeon,0,MDP (Policy Iter.),7091.129,8114,229,True
