Size_Rows,Size_Cols,Type,Order,Algorithm,Time_ms,Nodes_Expanded,Path_Length,Success
51,51,Dungeon,NWSE,BFS,2.506,1507,105,True
51,51,Dungeon,NWSE,DFS,1.189,749,639,True
51,51,Dungeon,NWSE,A* (Manhattan),1.7528,778,105,True
51,51,Dungeon,NWSE,A* (Euclidean),2.4705,1102,105,True
51,51,Dungeon,NWSE,MDP (Value Iter.),305.0052,1624,105,True
51,51,Dungeon,NWSE,MDP (Policy Iter.),707.5162,1624,105,True
51,51,Dungeon,NESW,BFS,2.1436,1517,105,True
51,51,Dungeon,NESW,DFS,0.5157,351,317,True
51,51,Dungeon,NESW,A* (Manhattan),1.6987,778,105,True
51,51,Dungeon,NESW,A* (Euclidean),2.4933,1102,105,True
51,51,Dungeon,NESW,MDP (Value Iter.),320.0961,1624,105,True
51,51,Dungeon,NESW,MDP (Policy Iter.),727.2649,1624,105,True
51,51,Dungeon,SWNE,BFS,2.1343,1507,105,True
51,51,Dungeon,SWNE,DFS,1.2816,984,407,True
51,51,Dungeon,SWNE,A* (Manhattan),1.7255,778,105,True
51,51,Dungeon,SWNE,A* (Euclidean),2.4175,1102,105,True
51,51,Dungeon,SWNE,MDP (Value Iter.),305.2379,1624,105,True
51,51,Dungeon,SWNE,MDP (Policy Iter.),677.7202,1624,105,True
51,51,Dungeon,SENW,BFS,1.9724,1507,105,True
51,51,Dungeon,SENW,DFS,0.203,131,131,True
51,51,Dungeon,SENW,A* (Manhattan),1.878,778,105,True
51,51,Dungeon,SENW,A* (Euclidean),2.3731,1102,105,True
51,51,Dungeon,SENW,MDP (Value Iter.),306.8166,1624,105,True
51,51,Dungeon,SENW,MDP (Policy Iter.),690.8257,1624,105,True
